feature,rows,missing_count,missing_rate,zero_count,zero_rate,mean,std,min,p01,p05,p25,median,p75,p95,p99,max,skew
bet_days_7d,368333,0,0.0,0,0.0,2.2212753133713243,1.8186864199231076,1.0,1.0,1.0,1.0,1.0,3.0,7.0,7.0,7.0,1.4205002933423407
no_bet_streak_days,368333,0,0.0,270489,0.7343599405972313,3.03308147790179,10.694155597873138,0.0,0.0,0.0,0.0,0.0,1.0,17.0,58.0,148.0,6.086230594803802
bet_interval_day,368333,12023,0.03264165849923846,1379,0.0037438947908550145,29.186119809240743,512.1926162600153,0.0,0.215909090909091,0.2693387975114376,0.5071842857488185,1.04026845637584,3.4536749497645323,52.24065952080699,399.8174846938754,84593.0,83.55648320956662
bet_amount_ratio_today_vs_history,368333,167265,0.4541135331344191,0,0.0,11.42063014315826,549.0380962476172,6.4462050224102325e-06,0.0010044914581650462,0.00736028601063903,0.10362139310566645,0.44372327326579164,1.3897638246360244,8.31713371046858,66.71768524482246,141450.0,163.89252448374523
bet_count_ratio_today_vs_history,368333,167265,0.4541135331344191,0,0.0,6.453744013907037,163.93880910358385,2.7153744501366737e-05,0.001652656040576231,0.0106194690265486,0.12498015525997833,0.4758448367737924,1.346774182662806,6.785224089635846,49.763046153846034,27910.0,89.99220630994056
avg_bet_one_time_today_log,368333,0,0.0,0,0.0,1.0193397664756565,0.5719391750577107,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.7191132331344391,1.0986122886681098,2.394877989084277,3.5033998780452333,6.90875477931522,3.013320902869008
rtp_7_bet_days,368333,0,0.0,39906,0.10834217949518507,0.8492450685105503,1.9886660244141579,0.0,0.0,0.0,0.5118110236220472,0.9014084507042254,1.0172544466482834,1.4357570988256998,2.8451327718735917,700.0,159.4247969685378
rtp_day,368333,0,0.0,62465,0.16958838876777263,0.7636371269546401,2.4535088276301016,0.0,0.0,0.0,0.216887417218543,0.700567888487352,0.976798143851508,1.5970900841536608,3.5403109303994214,700.0,111.66605557086397
max_consecutive_loss_count_today,368333,0,0.0,486,0.0013194582076544866,109.52344210266254,152.2468609784043,0.0,1.0,2.0,19.0,55.0,134.0,413.0,739.0,3066.0,3.166577579560106
current_balance_max_to_avg_bet_ratio,368333,167265,0.4541135331344191,373,0.0010126705997019001,936.7888959500042,6070.693211633087,0.0,0.8,7.149308510638306,95.43013580823929,353.50549383264354,1000.5338752145377,3261.6154970638,7911.76398136951,2254658.92,266.84430167295193
